data,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa
2023-07-07,jantar,lombo ao molho ferrugem,almôndega de aveia e espinafre,farofa,pudim de maria mole e melancia
2023-07-08,almoco,frango assado,pvt mexicano,repolho com azeitonas,brigadeirão e abacaxi
2023-07-10,almoco,fricassé de frango,bifinho de lentilha ao sugo,batata palha,maxi goiabinha e laranja
2023-07-10,jantar,bife ao molho de azeitonas,tomate recheado,brócolis à provençal,barra de cereais e maçã
2023-07-11,almoco,lombo ao molho roty,ovo cozido,farofa,pudim de maria mole com coco e banana
2023-07-11,jantar,carne em cubos ao molho de cebola,pvt com azeitonas,nhoque ao sugo,chocolate ao leite e abacaxi
2023-07-12,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata corada,mini bolo de brigadeiro e maçã
2023-07-12,jantar,filé de coxa,ovo frito,vagem ao alho,manjar com calda de ameixa e melancia
2023-07-13,almoco,lasanha à bolonhesa,lasanha de pvt,cenoura sauté,gelatina de morango e mamão
2023-07-13,jantar,bisteca ao molho ferrugem,cassoulet vegetariano,virado de couve,bananada e laranja
2023-07-14,almoco,filé de frango empanado,curry de legumes,acelga à chinesa,bombom e abacaxi
2023-07-14,jantar,carne moída,quibe de pvt,ervilha à parmentier,doce de abóbora com coco e banana
2023-07-15,almoco,bife ao molho de cogumelos,moussaka vegetariana,legumes ensopados,flan de baunilha com calda e
2023-07-17,almoco,bife grelhado ao molho de cebola,almôndega de aveia e espinafre,mandioca ensopada,torrone e maçã
2023-07-17,jantar,frango empanado,ovo frito,creme de milho,barra de cereais e tangerina
2023-07-18,almoco,linguiça acebolada,pvt com cogumelo champignon e shimeji,ervilha à parmentier,beijinho de coco e abacaxi
2023-07-18,jantar,lasanha à bolonhesa,lasanha de queijos,repolho e cenoura refogados,flan de baunilha com calda e
2023-07-19,almoco,hamburguer ao sugo,hamburguer de grão de bico ao sugo,purê misto com mandioquinha,sagu e banana
2023-07-19,jantar,pernil ao molho barbecue ,pvt alemão,farofa,maxi goiabinha e melão
2023-07-20,almoco,frango assado,cassoulet vegetariano,polenta de corte ao sugo com parmesão,banana caramelada e laranja
2023-07-20,jantar,bife ao molho roty,grãos com queijo,legumes ensopados,bombom e abacaxi
2023-07-21,almoco,carne moída refogada,pvt com azeitonas,penne ao alho e alho com espinafre,goiabada com queijo e
2023-07-21,jantar,peixe frito,quibe de brócolis e requeijão,batata corada,marigel e banana
2023-07-22,almoco,lombo ao molho madeira,melete de brócolis,virado de vagem e cenoura e legumes ensopados,iogurte e melão
2023-07-24,almoco,frango empanado,lasanha de berinjela e pvt,cenoura à salsa,bananada e tangerina
2023-07-24,jantar,bife grelhado ao molho de cebola,rondele de queijos,chuchu com manjericão,goiabada com queijo e abacaxi
2023-07-25,almoco,carne em cubos ao molho madeira,tomate recheado,batata rústica,arroz doce caramelado e banana
2023-07-25,jantar,lombo assado ao molho barbecue,souflé de legumes,couve ao alho,beijinho de coco e melancia
2023-07-26,almoco,bife ao molho provençal,bifinho de feijão branco ao sugo,legumes ensopados,marigel
2023-07-26,jantar,filé de coxa assado,ovo cozido,polenta de corte ao sugo com parmesão,iogurte e banana
2023-07-27,almoco,bisteca assada ao molho roty,almôndega de pvt ao sugo,farofa,cocada morena e laranja
2023-07-27,jantar,hamburguer à pizzaiolo,hamburguer de grão de bico à pizzaiolo,espaguete alho e óleo,manjar com calda de ameixa e mamão
2023-07-28,almoco,peixe frito,omelete de forno,vagem refogada,banoffe e abacaxí
2023-07-28,jantar,estrogonofe de carne,estrogonofe de pvt,batata palha,gelatina de cereja
2023-07-29,almoco,pernil ao molho ferrugem,cassoulet vegetariano,couve - flor sauté,barra de cereais e mamão
2023-07-31,almoco,carne em cubos ao molho roty,grãos com queijo branco,legumes com salsa,pão de mel e melancia
2023-07-31,jantar,tiras de frango ao molho ferrugem,curry de legumes,batata palha,canjica quente e maçã
2023-08-01,almoco,bife ao molho de azeitonas,quibe de brócolis e requeijão,macarrão ao sugo,cocada e mexerica
2023-08-01,jantar,linguiça acebolada,omelete de forno,couve refogada,mosaico de gelatina e melão
2023-08-02,almoco,filé de coxa assado,pvt azeitonas,polenta de corte ao sugo e parmesão,iogurte e mamão
2023-08-02,jantar,estrogonofe de carne,estrogonofe de legumes,brócolis ao alho,chocolate ao leite e abacaxí
2023-08-03,almoco,lombo suíno assado ao molho barbecue,cassoulet vegetariano,batata corada,picolé de limão e banana
2023-08-03,jantar,hamburguer à pizzaiolo,hamburguer de pvt à pizzaiolo,vagem refogada,pudim de maria mole com calda e melancia
2023-08-04,almoco,lagarto ao molho madeira,ovo frito,farofa,brigadeirão e abacaxi
2023-08-04,jantar,filé de coxa assado,almôndega de aveia,chuchu gratinado,barra de cereais e banana
2023-08-05,almoco,bife ao molho de azeitonas,pvt mexicano,batata doce com ervas,mousse de morango e melão
2023-08-07,almoco,fricassé de frango,curry de legumes,batata palha,doce de leite e maçã
2023-08-07,jantar,bife ao molho de azeitona,ovo cozido,legumes refogados,bombom e abacaxí
2023-08-08,almoco,lasanha à bolonhesa,lasanha de pvt,chuchu com manjericão,rocambole de chocolate e mamão
2023-08-08,jantar,pernil em cubos ao molho barbecue,almôndega de aveia,farofa,flan de baunilha com calda de goiabada
2023-08-09,almoco,bife ao molho roty,omelete de espinafre,abobrinha ao alho,mousse de limão e melancia
2023-08-09,jantar,filé de coxa assado,grão de bico à indiana,macarrão à primavera,sorvete de morango e maçã
2023-08-10,almoco,feijoada ,feijoada vegetariana,couve refogada,gelatina de cereja e laranja
2023-08-10,jantar,carne louca (lagarto),pvt com azeitonas,polenta cremosa,bolinho de baunilha e morango
2023-08-11,almoco,filé de peixe ao molho de queijo e espinafre,suflê de legumes,batata sauté,surpresa de abacaxi e banana
2023-08-11,jantar,bife ao molho ferrugem,tomate recheado,brócolis à provençal,iogurte e melancia
2023-08-12,almoco,filé de frango à pizzaiolo,bife de pvt à pizzaiolo,vagem refogada,pudim de coco com calda e melão
2023-08-16,almoco,filé de frango empanado,pvt com shimeji e cogumelo,creme de milho,maxi goiabinha e laranja
2023-08-16,jantar,bife ao molho tomatelli,quibe de brócolis recheado,abobrinha à italiana,barra de cereais banana e mel e melão
2023-08-17,almoco,carne moída,bifinho de grão de bico,ervilha à parmentier,bombom e melancia
2023-08-17,jantar,lombo suíno ao molho madeira,pvt mexicano,chuchu com azeitonas,mousse de maracujá e banana
2023-08-18,almoco,carne de panela ao molho champignon,moussaka vegetariana,nhoque ao sugo,sorvete de creme e maçã
2023-08-18,jantar,tiras de frango ao molho rosê,omelete de brócolis,batata doce com ervas,bolinho de baunilha e abacaxi
2023-08-19,almoco,pernil ao molho madeira,curry de legumes,farofa rica,surpresa de banana e melão
2023-08-21,almoco,filé de frango empanado,quibe de pvt,acelga ao alho,bananada e mexerica
2023-08-21,jantar,carne em cubos ao molho champignon,ovo frito,batata rústica,mini bolo chocolate e abacaxi
2023-08-22,almoco,bife ao molho roty,tomate recheado,legumes sautê,gelatina de cereja e banana
2023-08-22,jantar,bisteca ao molho ferrugem,curry de legumes,farofa,alfajor e melancia
2023-08-23,almoco,estrogonofe de carne,souflê de legumes,batata palha,barra de cereal e laranja
2023-08-23,jantar,peixe frito,grão com queijo branco,cenoura à salsa,udim de pão com calda e mamão
2023-08-24,almoco,lombo suíno ao molho barbecue,omelete com brócolis,virado de abobrinha,brigadeirão e abacaxi
2023-08-24,jantar,lasanha à bolonhesa,lasanha de pvt,repolho com ervas,goiabada em barra e laranja
2023-08-25,almoco,hamburguer à pizzaiolo,hamburguer de grão de bico à pizzaiolo,macarrão ao alho e óleo com espinafre,pudim de maria mole com coco e melancia
2023-08-25,jantar,fricassê de frango,pvt alemão,vagem ao alho,picolé de uva e maçã
2023-08-26,almoco,carne em cubos ao molho pomodoro,bife de pvt,purê de batata e mandioquinha,torrone e mamão
2023-08-28,almoco,linguiça acebolada,curry de legumes,farofa,barra de cereal banana e mel e maçã
2023-08-28,jantar,bife ao molho madeira,quibe de brócolis com requeijão,ervilha à parmentier,cocada morena e laranja
2023-08-29,almoco,frango assado,grão de bico à indiana,polenta ao sugo,sorvete de flocos e banana
2023-08-29,jantar,isca de carne ao molho de azeitona,pvt com cogumelo e shimeji,macarrão à primavera,iogurte e melancia
2023-08-30,almoco,carne moída,cassoulet vegetariano,batata rústica,pudim de pão com calda e abacaxi
2023-08-30,jantar,lombo suíno ao molho roty,ovo cozido,virado de vagem e cenoura,maxi goiabinha e banana
2023-08-31,almoco,bife ao molho de cebola,lasanha de ricota e espinafre,couve flor ao alho,chocolate ao leite e melancia
2023-08-31,jantar,frango empanado,souflê de legumes,creme de milho,gelatina de framboesa e tangerina
2023-09-01,almoco,pernil ao molho barbecue,almôndega de feijão branco,cenoura à salsa,mini bolo de brigadeiro e abacaxi
2023-09-01,jantar,lagarto ao molho de cogumelos,pvt mexicano,legumes sautê,manjar com calda de ameixa e maçã
2023-09-02,almoco,isca bovina ao molho provençal,ovo frito,batata doce com ervas,mosaico de gelatina e mamão
2023-09-04,almoco,bife ao molho madeira,tomate recheado,mandioca refogada,max goiabinha e laranja
2023-09-04,jantar,fricassé de frango,curry de legumes,batata palha,pão de mel e abacaxi
2023-09-05,almoco,lasanha à bolonhesa,lasanha de pvt,vagem sauté,barra de cereal e banana
2023-09-05,jantar,pernil ao molho barbecue,omelete de brócolis,farofa rica,gelatina de cereja e melão
2023-09-06,almoco,frango empanado,estrogonofe de grão de bico,legumes refogados,pudim de pão e melancia
2023-09-06,jantar,hamburguer ao molho pomodoro,hamburguer de pvt ao molho pomodoro,macarrão ao alho e óleo,sorvete de flocos e banana
2023-09-11,almoco,frango empanado,bife de grão de bico,creme de milho,doce de banana
2023-09-11,jantar,bife ao molho de azeitonas,lasanha de ricota com espinafre,legumes refogados,maxi goiabinha
2023-09-12,almoco,carne louca (lagarto desfiado),souflê de legumes,batata rústica,arroz doce
2023-09-12,jantar,linguiça suína acebolada,pvt com azeitonas,abobrinha à italiana,bombom
2023-09-13,almoco,isca bovina ao molho madeira,pvt alemão,macarrão à primavera,barra de cereal
2023-09-13,jantar,filé de coxa grelhado,almôndegas de aveia,cuscuz de legumes,mosaico de gelatina
2023-09-14,almoco,pernil ao molho provençal,ovo frito,couve refogada,manjar com calda de ameixa
2023-09-14,jantar,estrogonofe de carne,estrogonofe de legumes,batata palha,mini bolo de baunilha
2023-09-15,almoco,filé de peixe ao molho suíço,grãos com queijo branco,brócolis ao alho,sorvete de creme
2023-09-15,jantar,carne em cubos ao molho de cebola,ovo cozido,nhoque ao sugo,brigadeirão 
2023-09-16,almoco,lombo ao molho ferrugem,moussaka vegetariana,farofa rica,espumone de morango
2023-09-18,almoco,linguiça suína acebolada,pvt com azeitonas,purê de batatas,iogurte de morango
2023-09-18,jantar,frango empanado,grão com queijo branco,chuchu com manjericão,doce de abóbora
2023-09-19,almoco,carne de panela ao molho pomodoro,almôndegas de feijão branco ao molho pomodoro,macarrão ao alho e óleo com espinafre,gelatina de cereja
2023-09-19,jantar,lombo ao molho barbecue,cassoulet vegetariano,virado de abobrinha,bolinho de chocolate
2023-09-20,almoco,frango assado,ovo frito,polenta cremosa,torrone
2023-09-20,jantar,bife ao molho madeira,bife de pvt ao molho madeira,repolho com ervas,mousse de maracujá
2023-09-21,almoco,estrogonofe de carne,quibe de brócolis com requeijão,batata palha,curau
2023-09-21,jantar,bisteca suína ao molho roty,omelete com espinafre,farofa rica,picolé de uva
2023-09-22,almoco,filé de frango ao molho pizzaiolo,grão de bico à indiana,legumes refogados,flan de baunilha com calda
2023-09-22,jantar,lasanha à bolonhesa,lasanha de pvt,vagem ao alho,goiabada
2023-09-23,almoco,bife ao molho ferrugem,almôndegas de aveia e ricota,cuscuz de legumes,bombom
2023-09-25,almoco,carne moída com azeitonas,pvt com azeitonas,ervilha à parmentier,maxi goiabinha
2023-09-25,jantar,lombo ao molho ferrugem,quibe de brócolis com requeijão,mandioca refogada,chocolate ao leite
2023-09-26,almoco,bife ao molho provençal,moussaka vegetariana,cenoura à salsa,torrone
2023-09-26,jantar,peixe frito,suflê de legumes,batata rústica,flan de baunilha com calda de goiabada
2023-09-27,almoco,frango assado,cassoulet vegetariano,chuchu gratinado,gelatina de framboesa
2023-09-27,jantar,bife ao molho madeira,omelete de forno,couve - flor ao vinagrete,iogurte de morango
2023-09-28,almoco,hamburguer ao molho pizzaiolo,hamburguer de grão de bico ao molho pizzaiolo,macarrão ao alho e óleo,bolinho de chocolate
2023-09-28,jantar,frango assado,pvt com cogumelo,polenta,surpresa de banana
2023-09-29,almoco,lombo ao molho barbecue,ovo cozido,farofa rica,mousse de limão
2023-09-29,jantar,bife ao molho de cebola,tomate recheado,batata doce com ervas,barra de cereal 
2023-09-30,almoco,estrogonofe de frango,curry de legumes,batata palha,pudim de maria mole com coco
2023-10-02,almoco,bife ao molho madeira,lasanha de queijos e espinafre,cenoura à salsa,torrone
2023-10-02,jantar,lombo ao molho roty,quibe de pvt,abobrinha à italiana,bolinho de brigadeiro
2023-10-03,almoco,carne moída com azeitonas,pvt com azeitonas,nhoque ao sugo,arroz doce moreno
2023-10-03,jantar,filé de coxa assado,cassoulet vegetariano,polenta cremosa ,maxi goiabinha
2023-10-04,almoco,frango empanado,ovo cozido,creme de milho,bombom 
2023-10-04,jantar,bife ao molho ferrugem,lasanha de berinjela e pvt,chuchu com manjericão,gelatina de morango
2023-10-05,almoco,peixe ao molho suíço,grãos com queijo branco,brócolis ao alho,barra de cereal
2023-10-05,jantar,carne louca (lagarto desfiado),almôndegas de aveia ao sugo,batata corada,pudim de maria mole
2023-10-06,almoco,linguiça acebolada,pvt alemão,virado de couve,picolé de uva
2023-10-06,jantar,carne de panela,omelete de forno,macarrão à primavera,brigadeirão
2023-10-07,almoco,estrogonofe de carne,estrogonofe de legumes,batata palha,mousse de morango
2023-10-09,almoco,carne em cubos ao molho de cebola,quibe de brócolis,vagem à provençal,barra de cereal
2023-10-09,jantar,estrogonofe de frango,estrogonofe de grão de bico,batata palha,chocolate ao leite
2023-10-10,almoco,lombo suíno ao molho barbecue,ovo cozido,farofa,gelatina de framboesa
2023-10-10,jantar,lasanha à bolonhesa,lasanha de pvt,repolho com ervas,pudim de pão 
2023-10-11,almoco,filé de coxa assado,suflê de legumes,macarrão ao sugo,bolinho roll
2023-10-11,jantar,iscas ao molho madeira,ovo frito,ervilha à parmentier,sorvete de morango
2023-10-16,almoco,frango empanado,moussaka vegetariana,legumes sauté,bolinho de chocolate
2023-10-16,jantar,iscas ao molho de cogumelos,suflê de legumes,batata doce corada,maxi goiabinha
2023-10-17,almoco,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,mousse de limão
2023-10-17,jantar,lombo ao molho barbecue,omelete de forno,abobrinha ao alho,bombom
2023-10-18,almoco,frango assado,cassoulet vegetariano,polenta cremosa,flan de baunilha com calda de goiabada
2023-10-18,jantar,bife ao molho roty,tomate recheado,chuchu com manjericão,iogurte de morango
2023-10-19,almoco,lagarto ao molho madeira,ovo frito,farofa,sorvete de flocos
2023-10-19,jantar,fricassé de frango,bifinho de feijão branco ao sugo,batata palha,gelatina de framboesa
2023-10-20,almoco,bisteca suína acebolada,grão de bico à indiana,couve refogada,barra de cereais
2023-10-20,jantar,carne moída refogada,pvt com azeitonas,macarrão ao alho e óleo,manjar com calda de ameixa
2023-10-21,almoco,bife ao molho ferrugem,quibe de pvt,batata rústica,pudim de maria mole com coco
2023-10-23,almoco,bife ao molho de azeitonas,tomate recheado,abobrinha à italiana,chocolate ao leite
2023-10-23,jantar,linguiça acebolada,ovo cozido,mandioca refogada,goiabada
2023-10-24,almoco,hambúrguer ao sugo,hambúrguer de lentilha ao sugo,macarrão ao alho e óleo com espinafre,bolinho de baunilha
2023-10-24,jantar,frango assado,curry de legumes,polenta,surpresa de abacaxi
2023-10-25,almoco,lombo suíno ao molho roty,grão de bico à moda indiana,farofa rica,max goiabinha
2023-10-25,jantar,estrogonofe de carne,moussaka vegetariana,batata palha,gelatina de cereja
2023-10-26,almoco,carne moída refogada,pvt com champignon e shimeji,ervilha à parmentier,manjar com calda de ameixa
2023-10-26,jantar,filé de peixe frito,quibe de brócolis e requeijão,cenoura ao alho,picolé de limão
2023-10-27,almoco,filé de frango ao molho pomodoro,omelete de espinafre,legumes sautê,brigadeirão
2023-10-27,jantar,cubos de pernil ao molho barbecue,cassoulet vegetariano,virado de vagem,cocada
2023-10-30,almoco,bife ao molho de roty,bobó de abóbora e palmito,legumes à salsa,iogurte de morango
2023-10-30,jantar,frango empanado,ovo frito,creme de milho,doce de banana
2023-10-31,almoco,pernil acebolado,curry de legumes,cenoura sauté,gelatina de framboesa 
2023-10-31,jantar,hamburguer à pizzaiolo,hamburguer de pvt à pizzaiolo,macarrão penne ao alho e óleo e espinafre,bolinho roll de chocolate
2023-11-01,almoco,filé de frango ao pomodoro,grão de bico à moda indiana,purê de batatas,sorvete de morango
2023-11-01,jantar,estrogonofe de carne,moussaka vegetariana,batata palha,gelatina de cereja
2023-11-06,almoco,filé de frango empanado,omelete de abobrinha,repolho com cenoura refogados,bolinho de chocolate
2023-11-06,jantar,linguiça acebolada,moussaka vegetariana,virado de vagem,goiabada
2023-11-07,almoco,bife ao molho madeira,tomate recheado,chuchu com manjericão,arroz doce moreno 
2023-11-07,jantar,frango assado,curry de legumes,polenta,mousse de chocolate
2023-11-08,almoco,lombo ao molho barbecue,pvt alemão,mandioca temperada,pé de moça
2023-11-08,jantar,hamburguer ao molho pizzaiolo,hamburguer de lentilha à pizzaiolo,purê misto com mandioquinha,gelatina de cereja
2023-11-09,almoco,carne em cubos ao molho de cogumelo,almôndega de aveia com espinafre,macarrão ao sugo,manjar com calda de ameixa
2023-11-09,jantar,filé de frango ao molho ferrugem,ovo cozido,cenoura ao alho,chocolate ao leite
2023-11-10,almoco,peixe ao molho rio verde,grãos com queijo,batata sautê,barra de cereal
2023-11-10,jantar,iscas ao molho provençal,pvt com azeitonas,cuscuz de legumes,picolé de uva
2023-11-11,almoco,pernil ao molho roty,suflê de legumes,couve refogada,brigadeirão
2023-11-13,almoco,linguiça acebolada,cassoulet vegetariano,virado de couve,bananada e laranja
2023-11-13,jantar,bife ao molho roty,tomate recheado,legumes refogados,bolinho roll e abacaxi
2023-11-14,almoco,lasanha à bolonhesa,lasanha de pvt,abobrinha com ervas,mosaico e melancia
2023-11-14,jantar,frango assado,almôndega de aveia e espinafre,ervilha à parmentier,cocada e banana
2023-11-16,almoco,filé de frango empanado,ovo frito,acelga à provençal,torrone e maçã
2023-11-16,jantar,carne de panela ao molho de azeitonas,pvt com azeitonas,nhoque ao sugo,maxi goiabinha e laranja
2023-11-17,almoco,bife ao molho pomodoro,moussaka vegetariana,polenta,picolé de limão e banana
2023-11-17,jantar,pernil ao molho ferrugem,omelete de brócolis,farofa,delícia de abacaxi e melancia
2023-11-18,almoco,fricassé de frango,pvt mexicano,batata palha,pudim de maria mole com coco e melão
2023-11-21,almoco,bife ao molho roty,omelete de forno,batata rústica,doce de leite e banana
2023-11-21,jantar,peixe frito,grãos com queijo branco,brócolis à provençal,iogurte
2023-11-22,almoco,frango assado,quibe de brócolis e requeijão,abobrinha à italiana,gelatina de cereja
2023-11-22,jantar,bife ao molho de cogumelos,lasanha de queijos,chuchu com manjericão,sorvete de creme e maçã
2023-11-23,almoco,hamburguer à pizzaiolo,hamburguer de pvt à pizzaiolo,macarrão à primavera,bombom e melancia
2023-11-23,jantar,fricassé de frango,ovo frito,batata palha,pudim de coco com calda e banana
2023-11-24,almoco,bisteca ao molho ferrugem e limão,curry de legumes,farofa,arroz doce moreno e laranja
2023-11-24,jantar,carne moída refogada,pvt com azeitonas,batata doce com ervas,brigadeirão e abacaxi
2023-11-25,almoco,estrogonofe de carne,estrogonofe de grão de bico,legumes sauté,bolinho de baunilha e
2023-11-27,almoco,bife ao molho de azeitonas,grão de bico à indiana,chuchu gratinado,cocada
2023-11-27,jantar,filé de frango empanado,ovo cozido,creme de milho,barra de cereais
2023-11-28,almoco,carne louca (lagarto desfiado),almôndega de espinafre e ricota ao sugo,macarrão penne ao alho e óleo,pudim de pão
2023-11-28,jantar,lombo ao molho barbecue,suflê de legumes,couve refogada,bombom
2023-11-29,almoco,frango assado,bifinho de pvt,ervilha à parmentier,bolinho roll
2023-11-29,jantar,estrogonofe de carne,estrogonofe de legumes,vagem ao alho,manjar com calda de ameixa
2023-11-30,almoco,pernil ao molho ferrugem,hamburguer de lentilha,farofa,maxi goiabinha
2023-11-30,jantar,lagarto ao molho madeira,quibe de brócolis e requeijão,legumes à salsa,gelatina de cereja
2023-12-01,almoco,bife ao molho roty,omelete de forno,nhoque ao sugo,sorvete de flocos
2023-12-01,jantar,filé de frango à pizzaiolo,curry de legumes,batata rústica,surpresa de banana com doce de leite
2023-12-02,almoco,carne em cubos ao molho pomodoro,pvt com cogumelo e shimeji,couve flor ao alho,barra de cereais e melão
2023-12-04,almoco,filé de frango empanado,ovo frito,creme de milho,max goiabinha
2023-12-04,jantar,iscas de carne ao molho de cogumelos,quibe de brócolis e requeijão,legumes refogados,bolinho roll de chocolate
2023-12-05,almoco,lasanha à bolonhesa,lasanha de pvt,vagem sauté,barra de cereal
2023-12-05,jantar,pernil ao molho barbecue,almôndega de aveia ao molho barbecue,virado de couve,gelatina de cereja
2023-12-06,almoco,bife ao molho roty,tomate recheado,cenoura à salsa,flan de baunilha com calda de goiabada
2023-12-06,jantar,peixe frito,cassoulet vegetariano,purê de batatas,sorvete de morango
2023-12-07,almoco,hamburguer ao molho pizzaiolo,hambúrguer de lentilha ao molho pizzaiolo,macarrão ao alho e óleo,espumone de framboesa
2023-12-07,jantar,frango assado,omelete de espinafre,polenta cremosa,pé de moça
2023-12-08,almoco,lombo ao molho ferrugem,baião de dois vegetariano,farofa,mousse de limão
2023-12-08,jantar,bife ao molho provençal,moussaka vegetariana,chuchu com manjericão,doce de leite
2023-12-09,almoco,tiras de frango ao molho rosé,souflé de legumes,batata doce com ervas,pudim de maria mole com calda de groselha
2023-12-11,almoco,linguiça acebolada,curry de legumes,abobrinha à italiana,bolinho de baunilha
2023-12-11,jantar,carne de panela ao molho roty,quibe de pvt,mandioca ao tomatelli,barra de cereais de chocolate e frutas 
2023-12-12,almoco,bife ao molho tomatelli,pvt alemão,polenta,arroz doce moreno
2023-12-12,jantar,frango assado,ovo cozido,macarrão à primavera,chocolate ao leite
2023-12-13,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata palha,maxi chocolate
2023-12-13,jantar,filé de frango empanado,suflê de legumes,creme de milho,mosaico de gelatina
2023-12-14,almoco,frango cremoso,canelloni de brócolis com queijo ao sugo,batata rústica,pavê de bombom
2023-12-14,jantar,lombo assado,quiche de espinafre,farofa natalina,alfajor
2023-12-15,almoco,peixe frito,grãos com queijo branco,brócolis ao alho,picolé de limão
2023-12-15,jantar,carne moída com azeitonas,pvt com azeitonas,ervilha à parmentier,flan de baunilha com calda de goiabada
2023-12-16,almoco,pernil ao molho ferrugem,omelete de forno,couve ao alho,torrone
2023-12-18,almoco,carne em cubos ao molho ferrugem,almôndega de feijão branco ao molho ferrugem,purê misto com mandioquinha,maxi goiabinha
2023-12-18,jantar,filé de frango à pizzaiolo,tomate recheado,legumes ao alho,beijinho de coco 
2023-12-19,almoco,bife ao molho madeira ,quibe de brócolis,chuchu com azeitonas,gelatina de framboesa
2023-12-19,jantar,lombo ao molho barbecue,ovo cozido,virado de abobrinha e cenoura,pudim de coco com calda de frutas vermelhas
2023-12-20,almoco,filé de coxa assado,pvt alemão,polenta cremosa,romeu e julieta
2023-12-20,jantar,estrogonofe de carne ,estrogonofe de grão de bico,batata palha,banana caramelada
2023-12-21,almoco,filé de frango empanado,ovo frito,creme de milho,torrone
2023-12-21,jantar,hambúrguer ao molho pomodoro ,hambúrguer de pvt ao molho pomodoro,macarrão com espinafre alho e óleo,bombom
2024-01-03,jantar,linguiça acebolado,pvt com azeitonas,farofa,cocada e maçã
2024-01-04,almoco,peixe frito,bifinho de feijão branco ao sugo,purê misto,picolé de uva e banana
2024-01-04,jantar,estrogonofe de carne,estrogonofe de pvt,legumes refogados,mousse de limão e abacaxi
2024-01-05,almoco,bife ao molho de azeitonas,cassoulet vegetariano,batata rústica,chocolate ao leite e melancia
2024-01-05,jantar,frango assado,curry de legumes,macarrão penne ao sugo,gelatina de morango e banana
2024-01-06,almoco,carne de panela ao pomodoro,grãos com queijo branco,cenoura sautê,curau e maçã
2024-01-08,almoco,bife acebolado,pvt com cogumelo e shimeji,couve flor à provençal,bombom e abacaxi
2024-01-08,jantar,estrogonofe de frango,estrogonofe de grão de bico,batata palha,barra de cereal e melão
2024-01-09,almoco,bisteca ao molho barbecue,ovo cozido,farofa rica,arroz doce e banana
2024-01-09,jantar,bife ao molho de azeitonas,quibe de brócolis e requeijão,chuchu com manjericão,maxi chocolate e mamão
2024-01-10,almoco,iscas de carne ao molho cogumelo,tomate recheado,polenta de corte ao sugo,gelatina colorida e maçã
2024-01-10,jantar,pernil ao molho ferrugem,omelete de espinafre,farofa,mini bolo de baunilha e abacaxi
2024-01-11,almoco,lagarto ao molho madeira,bifinho de pvt,batata doce com ervas,doce de abobora com coco e melão
2024-01-11,jantar,lasanha à bolonhesa,lasanha de queijos,repolho com cenoura refogados,sorvete de creme e banana
2024-01-12,almoco,filé de frango ao molho tomatelli,curry de legumes,espaguete ao alho e óleo,banana caramelada e mamão
2024-01-12,jantar,bife ao molho madeira,almôndega de aveia ao molho provençal,ervilha à parmentier,beijinho de coco e melancia
2024-01-13,almoco,lombo  suíno acebolado,hamburguer de lentilha ao molho ferrugem,virado de cenoura com azeitonas,pudim de morango e laranja
2024-01-15,almoco,frango empanado,ovo frito,creme de milho,barra de cereal e abacaxi
2024-01-15,jantar,carne de panela,moussaka vegetariana,batata rústica,torrone e melão
2024-01-16,almoco,linguiça suína acebolada,pvt com cogumelo e shimeji,farofa,sorvete de flocos e maçã
2024-01-16,jantar,bife ao molho pomodoro,tomate recheado,acelga chinesa,gelatina de morango e mamão
2024-01-17,almoco,iscas de carne ao molho madeira,souflê de legumes,mandioca ao tomatelli,romeu e julieta e banana
2024-01-17,jantar,peixe ao molho de queijos,grãos com queijo branco,brócolis à provençal,doce de abóbora com coco e laranja
2024-01-18,almoco,quibe de assadeira,quibe de brócolis e requeijão,vagem ao alho,maxi chocolate e melão
2024-01-18,jantar,tiras de frango à pizzaiolo,ovo cozido,chuchu com azeitonas,manjar de coco e melancia
2024-01-19,almoco,frango assado,grão de bico à indiana,polenta de corte ao sugo,beijinho de coco e mamão
2024-01-19,jantar,hamburguer ao sugo,hamburguer de pvt ao sugo,espaguete ao alho e óleo,iogurte e banana
2024-01-20,almoco,estrogonofe de carne,estrogonofe de legumes,batata corada,brigadeirão e melancia
2024-01-22,almoco,bife ao molho de azeitonas,pvt com azeitonas,chuchu gratinado,torrone e maçã
2024-01-22,jantar,lombo suíno ao molho barbecue,souflê de legumes,couve ao alho,chocolate e melão
2024-01-23,almoco,hamburguer ao sugo,hamburguer de lentilha ao sugo,macarrão com molho suíço,manjar de coco com ameixa e melancia
2024-01-23,jantar,frango assado,moussaka vegetariana,batata doce com ervas,romeu e julieta e abacaxi
2024-01-24,almoco,pernil suíno ao molho roty,omelete de espinafre,farofa rica,mousse de morango e melão
2024-01-24,jantar,bife ao molho provençal,lasanha de abobrinha com pvt,legumes à salsa,picolé de limão e banana
2024-01-25,almoco,carne moída,quibe de pvt,batata corada,gelatina de cereja e laranja
2024-01-25,jantar,frango empanado,ovo frito,creme de milho,flan de baunilha com calda de caramelo e melancia
2024-01-26,almoco,frango assado,almôndega de aveia ao sugo,quiabo refogado,iogurte e abacaxi
